c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542177,607,Hairy cell leukemia,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542196,626,Marginal zone lymphoma,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542250,682,Waldenstroem macroglobulinemia,Condition,Condition
35804570,11825,Bendamustine and Rituximab (BR),Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
35804571,11846,Cladribine and Cyclophosphamide (CC),Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804572,11865,Chlorambucil and Obinutuzumab (GClb),Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804573,11877,Chlorambucil and Ofatumumab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804574,11885,Chlorambucil and Rituximab (RClb),Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
35804574,11885,Chlorambucil and Rituximab (RClb),Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804574,11885,Chlorambucil and Rituximab (RClb),Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804575,11911,CMC,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804576,11912,FCA,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804577,11925,FCM,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804577,11925,FCM,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804577,11925,FCM,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804580,12020,Fludarabine and Alemtuzumab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542175,605,Graft versus host disease,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542196,626,Marginal zone lymphoma,Condition,Condition
35804581,12027,Ibrutinib monotherapy,Regimen,Regimen,42542250,682,Waldenstroem macroglobulinemia,Condition,Condition
35804582,12069,Ibrutinib and Obinutuzumab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804583,12076,Obinutuzumab monotherapy,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804583,12076,Obinutuzumab monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804583,12076,Obinutuzumab monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804583,12076,Obinutuzumab monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804583,12076,Obinutuzumab monotherapy,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
35804584,12090,Alemtuzumab and Methylprednisolone,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804585,12097,Bendamustine and Obinutuzumab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804585,12097,Bendamustine and Obinutuzumab,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804585,12097,Bendamustine and Obinutuzumab,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
35804587,12105,CFAR,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
